inventory_key,inventory_scope,recipe_id,title,category,source,source_url,source_license,content_origin,difficulty,servings,prep_time,cook_time,total_time,ingredient_count,step_count,beginner_review_status,actual_cooking_test_status,image_rights_status,publish_status,last_reviewed_at,reviewer,source_record_status,source_type_original,source_type_app_projection,attribution,current_public_exposure
live_supabase:ea6b3363-ad00-4923-ae0f-5dd943daca43,live_supabase,ea6b3363-ad00-4923-ae0f-5dd943daca43,코코넛밀크카레,반찬,mfds:503,,,public_api,,,,,,11,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:d230f347-18b7-47e9-af03-d17f2018a2e8,live_supabase,d230f347-18b7-47e9-af03-d17f2018a2e8,훈제오리가슴살 샐러드,반찬,mfds:641,,,public_api,,,,,,7,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:7d85aab9-a201-415b-9905-adb845faf6c9,live_supabase,7d85aab9-a201-415b-9905-adb845faf6c9,소고기리조또롤,밥,mfds:504,,,public_api,,,,,,13,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:19968557-cbbc-46e7-a50d-ff55475abda6,live_supabase,19968557-cbbc-46e7-a50d-ff55475abda6,둥지튀김,반찬,mfds:505,,,public_api,,,,,,16,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:98c6a6b1-2e58-45a9-89a7-9da0b5a6f36e,live_supabase,98c6a6b1-2e58-45a9-89a7-9da0b5a6f36e,새우와스테이크,일품,mfds:506,,,public_api,,,,,,18,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:2e2d8834-c3a1-4f1a-8ba0-f6a19f4edad6,live_supabase,2e2d8834-c3a1-4f1a-8ba0-f6a19f4edad6,함초삼겹,반찬,mfds:507,,,public_api,,,,,,13,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:228aba39-58c0-4277-87c6-58d6a0815f90,live_supabase,228aba39-58c0-4277-87c6-58d6a0815f90,햄버거스테이크,반찬,mfds:508,,,public_api,,,,,,14,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:3e08cef9-5f7f-4b11-a77f-3baa9b94e80d,live_supabase,3e08cef9-5f7f-4b11-a77f-3baa9b94e80d,유자삼치구이,반찬,mfds:509,,,public_api,,,,,,7,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:5d39a17b-84d8-40c1-ade5-747b6f41dd54,live_supabase,5d39a17b-84d8-40c1-ade5-747b6f41dd54,냉토마토파스타,일품,mfds:510,,,public_api,,,,,,14,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:35735175-ca1c-4e2e-a06f-a7d239a3bada,live_supabase,35735175-ca1c-4e2e-a06f-a7d239a3bada,닭고기또띠아,반찬,mfds:511,,,public_api,,,,,,13,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
